authfull,inst_name,cntry,np6021,firstyr,lastyr,rank (ns),nc9621 (ns),h21 (ns),hm21 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6021 cited9621 (ns),self%,rank,nc9621,h21,hm21,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6021 cited9621,np6021_d,nc9621_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Aliguliyev, Ramiz M.",Azerbaijan National Academy of Sciences,aze,76,2004,2021,265848,1103,18,10.86666667,8,347,10,347,21,486,3.03508455,832,1.325721154,58,0.1515,249511,1300,21,12.2,8,406,10,406,21,596,3.124343023,892,1.457399103,62,2,88,Artificial Intelligence & Image Processing,0.631578947,Operations Research,0.078947368,Information & Communication Technologies,0.710526316,4809,5050,321592
"Monhemius, A. John",Anglo Asian Mining plc,aze,67,1973,2018,340993,1344,17,10.83333333,6,81,11,167,54,993,2.917398998,1182,1.137055838,55,0.0218,393226,1374,17,10.83333333,6,82,11,169,54,1020,2.910166317,1198,1.146911519,56,0,15,Mining & Metallurgy,0.575757576,Materials,0.166666667,Engineering,0.651515152,218,187,32211
"Bond, G. Randall",Hope Africa University,bdi,59,1990,2022,151298,1817,22,14.96495726,14,283,31,806,41,1064,3.283208613,1709,1.063194851,55,0.0361,176291,1885,22,14.90940171,14,287,31,830,41,1092,3.276556345,1754,1.074686431,56,0,28,Emergency & Critical Care Medicine,0.288135593,Toxicology,0.271186441,Clinical Medicine,0.694915254,558,502,34180
"Carmeliet, Peter",KU Leuven,bel,784,1984,2022,68,95712,143,54.64789747,21,11453,86,36605,317,64372,5.11908231,68330,1.400731743,732,0.0978,68,106085,154,57.84018806,21,11630,86,38237,317,68918,5.140041069,72405,1.465161246,735,2,543,Cardiovascular System & Hematology,0.181353768,Developmental Biology,0.149425287,Clinical Medicine,0.696040868,8,8,199278
"De Clercq, Erik",Rega Institute for Medical Research,bel,2580,1967,2022,82,81790,126,82.08422395,262,14001,438,18249,1262,42334,5.096034837,50574,1.617234152,2316,0.2132,56,103947,139,91.74405856,262,15655,438,21291,1262,52434,5.170728957,54689,1.90069301,2369,17,1397,Medicinal & Biomolecular Chemistry,0.267288267,Virology,0.186868687,Chemistry,0.419191919,1,1,94672
"Vincent, Jean Louis",Hôpital Erasme,bel,1607,1975,2022,101,123493,139,61.93705899,222,3988,543,29084,1109,63988,5.052686433,78793,1.567309279,1308,0.0858,104,135082,144,65.93257476,222,4272,543,31222,1109,69293,5.074327438,82459,1.638171697,1333,1,1205,Emergency & Critical Care Medicine,0.387920299,Anesthesiology,0.084682441,Clinical Medicine,0.929638854,1,1,34180
"Rutgeerts, Paul",KU Leuven– University Hospital Leuven,bel,861,1975,2019,583,96485,140,46.47541045,39,735,131,12239,383,45397,4.737418876,43638,2.21103167,748,0.1051,586,107821,148,49.21387754,39,760,131,13301,383,49433,4.762420484,45875,2.350321526,753,30,719,Gastroenterology & Hepatology,0.603948897,General & Internal Medicine,0.072009292,Clinical Medicine,0.93495935,8,8,95371
"Nolan, Steven P.",Universiteit Gent,bel,584,1985,2022,1120,46644,111,54.92790722,9,2047,26,2683,418,39850,4.626889077,23177,2.012512405,549,0.1254,1046,53329,118,58.25806595,9,2179,26,2981,418,45086,4.662371665,24236,2.200404357,562,0,33,Organic Chemistry,0.639175258,General Chemistry,0.170103093,Chemistry,0.970790378,33,34,154108
"Fagard, Robert",KU Leuven,bel,881,1970,2021,1188,99617,110,43.47326528,52,1961,181,6192,317,13912,4.616260816,79177,1.258155778,703,0.1292,1099,114394,119,46.15730624,52,2077,181,6905,317,15592,4.654877609,86929,1.315947497,711,27,1394,Cardiovascular System & Hematology,0.555051078,General & Internal Medicine,0.128263337,Clinical Medicine,0.94892168,66,70,199278
"Binnemans, Koen",KU Leuven,bel,567,1993,2022,1317,26923,75,39.7569837,12,6237,69,10456,341,20118,4.598102208,18319,1.469676292,529,0.1311,1206,30985,82,42.94587259,12,6351,69,11372,341,22979,4.639387898,19342,1.601954296,540,0,146,Organic Chemistry,0.229276896,Inorganic & Nuclear Chemistry,0.151675485,Chemistry,0.469135802,40,39,154108
"Scheen, André",Centre Hospitalier Universitaire de Liege,bel,1282,1973,2022,1456,31293,72,48.02037119,480,5765,810,8954,1047,11658,4.578947061,25934,1.206639932,796,0.1982,774,39029,80,56.86322833,480,8022,810,12794,1047,16286,4.711675769,28421,1.373245136,1045,11,510,General & Internal Medicine,0.489079563,Endocrinology & Metabolism,0.166926677,Clinical Medicine,0.97425897,19,31,311132
"Collen, Desire",KU Leuven,bel,889,1971,2017,1660,51739,110,50.93688498,54,1320,156,3827,598,20119,4.555724297,36057,1.434922484,775,0.1136,1633,58372,117,54.04244054,54,1391,156,4200,598,22441,4.587551609,38343,1.522363926,783,6,429,Cardiovascular System & Hematology,0.489313836,Biochemistry & Molecular Biology,0.158605174,Clinical Medicine,0.769403825,92,95,199278
"Van den Berghe, Greet",Departement Cellulaire en Moleculaire Geneeskunde,bel,514,1990,2022,1754,37180,77,35.09498459,41,1556,82,16084,343,27393,4.545914462,23705,1.568445476,439,0.1402,1471,43244,87,38.96608848,41,1698,82,17445,343,31179,4.604672211,25917,1.668557318,452,8,459,Endocrinology & Metabolism,0.227626459,Emergency & Critical Care Medicine,0.204280156,Clinical Medicine,0.879377432,50,60,84176
"Reginster, Jean Yves",Université de Liège,bel,996,1983,2022,1970,46802,94,38.29123157,58,1092,264,8620,615,23452,4.524005538,31406,1.490224798,839,0.1302,1780,53809,102,41.3212866,58,1205,264,9698,615,26993,4.573403082,33382,1.611916602,873,1,581,Endocrinology & Metabolism,0.242211055,General & Internal Medicine,0.151758794,Clinical Medicine,0.872361809,63,69,84176
"Van Cutsem, E.",KU Leuven– University Hospital Leuven,bel,483,1980,2022,2144,78938,126,30.87668663,34,227,129,17195,213,26195,4.505966306,47901,1.647940544,418,0.0828,2262,86060,135,31.91199242,34,241,129,18257,213,27757,4.525777061,50551,1.702439121,422,14,808,Oncology & Carcinogenesis,0.591286307,Gastroenterology & Hepatology,0.12033195,Clinical Medicine,0.975103734,96,89,293195
"Van de Werf, Frans",KU Leuven,bel,839,1972,2021,2171,66576,110,32.96476858,59,1168,105,6752,310,15850,4.502742737,49635,1.341311574,693,0.1297,2122,76499,118,34.48814011,59,1233,105,7656,310,17934,4.53949196,54196,1.411524836,705,16,726,Cardiovascular System & Hematology,0.644815256,General & Internal Medicine,0.10488677,Clinical Medicine,0.938021454,111,113,199278
"Cani, Patrice D.",Université Catholique de Louvain,bel,321,2003,2022,2247,38011,88,33.53960887,20,920,66,14810,134,22630,4.496109571,22352,1.700563708,290,0.0931,2345,41915,93,34.59419824,20,967,66,15936,134,24607,4.516803328,23300,1.798927039,293,3,271,Endocrinology & Metabolism,0.205607477,Nutrition & Dietetics,0.190031153,Clinical Medicine,0.560747664,86,83,84176
"Akogbeto, Martin",Centre de Recherche Entomologique de Cotonou,ben,167,1985,2022,221595,4075,32,13.55375033,2,34,16,251,77,1026,3.118250459,2551,1.597412779,157,0.2887,172511,,,,,,,,,,,,,,,,,,,,,,,,
"Yunus, Muhammad",International Centre for Diarrhoeal Disease Research Bangladesh,bgd,62,1981,2013,24629,6973,35,17.86785714,17,1659,45,3564,54,6513,3.912641531,5185,1.344840887,60,0.0448,29467,,,,,,,,,,,,,,,,,,,,,,,,
"Mamun, Abdullah Al",Jahangirnagar University,bgd,454,1991,2022,27865,5685,37,26.91666667,35,657,140,2962,408,5080,3.877089849,2402,2.366777685,386,0.3904,14717,,,,,,,,,,,,,,,,,,,,,,,,
"Clemens, John D.",International Centre for Diarrhoeal Disease Research Bangladesh,bgd,538,1979,2022,29588,19192,67,25.54863732,8,46,69,2219,230,8332,3.859416428,13402,1.432025071,486,0.1815,26033,,,,,,,,,,,,,,,,,,,,,,,,
"Haque, Rashidul",International Centre for Diarrhoeal Disease Research Bangladesh,bgd,380,1990,2022,46621,12534,58,19.47978534,1,75,34,2468,66,3138,3.71793989,8609,1.455918225,344,0.2402,41201,,,,,,,,,,,,,,,,,,,,,,,,
"Rahman, Md Mostafizer",Gono Bishwabidyalay,bgd,384,1969,2022,49510,9696,44,20.91252081,24,86,150,2875,206,3561,3.698121588,7524,1.288676236,319,0.1674,50604,,,,,,,,,,,,,,,,,,,,,,,,
"Islam, Nazrul",Shahjalal University of Science and Technology,bgd,95,1995,2022,68178,3215,20,11.96120097,16,2126,35,2331,53,2495,3.588625752,2979,1.079221215,77,0.0793,76935,,,,,,,,,,,,,,,,,,,,,,,,
"Hasanuzzaman, Mirza",Sher-e-Bangla Agricultural University,bgd,261,2007,2022,72325,7915,47,18.0059847,9,13,86,4299,149,4785,3.56792778,5986,1.322251921,221,0.1807,71021,,,,,,,,,,,,,,,,,,,,,,,,
"Islam, Mohammad Shahidul",Child Health Research Foundation,bgd,152,1996,2022,84552,3024,27,14.78807996,6,337,63,2174,87,2296,3.51089209,2865,1.055497382,127,0.0927,92472,,,,,,,,,,,,,,,,,,,,,,,,
"Hossain, M. Anwar",University of Dhaka,bgd,213,1984,2022,85272,3311,29,18.96666667,5,157,75,1820,138,2476,3.507748626,2423,1.366487825,189,0.18,77786,,,,,,,,,,,,,,,,,,,,,,,,
"Maes, Michael",Medical University of Plovdiv,bgr,880,1986,2022,641,39566,95,48.97307525,38,2358,330,19946,617,31517,4.719071395,24004,1.648308615,793,0.1793,464,48212,107,56.44450382,38,2744,330,24113,617,38255,4.806720248,25394,1.898558715,814,2,255,Psychiatry,0.498863636,Neurology & Neurosurgery,0.159090909,Clinical Medicine,0.907954545,16,22,71064
"Atanassov, Krassimir","Institute of Biophysics and Biomedical Engineering, Bulgarian Academy of Sciences",bgr,346,1985,2022,6199,16048,23,18.93452381,101,12535,150,15460,267,15788,4.274415799,10534,1.523447883,194,0.0377,6556,16676,25,20.55595238,101,12707,150,15710,267,16280,4.296841514,10778,1.54722583,242,61,1138,Artificial Intelligence & Image Processing,0.592485549,General Mathematics,0.12716763,Information & Communication Technologies,0.742774566,118,121,321592
"Hadjiivanov, Konstantin",Institute of General and Inorganic Chemistry Bulgarian Academy of Sciences,bgr,205,1987,2022,13946,8673,44,26.52204969,8,1465,68,5230,146,6771,4.072197232,6353,1.365181804,202,0.1778,11657,10548,52,29.69824017,8,1603,68,6288,146,8233,4.159241555,6704,1.573389021,204,0,46,Physical Chemistry,0.460784314,Chemical Physics,0.264705882,Chemistry,0.558823529,44,54,37102
"Surai, Peter F.",Trakia University Faculty of Veterinary Medicine,bgr,183,1981,2022,17260,7940,53,27.9797619,13,1003,81,3290,109,4887,4.013499242,5181,1.532522679,169,0.1774,15375,9652,59,29.99880952,13,1155,81,4072,109,5943,4.087828046,5586,1.727891156,171,0,176,Dairy & Animal Science,0.371584699,Physiology,0.06557377,"Agriculture, Fisheries & Forestry",0.486338798,15,16,61355
"Bankova, Vassya",Institute of Organic Chemistry with Centre of Phytochemistry (IOCCP) Bulgarian Academy of Sciences,bgr,191,1982,2022,22960,9055,46,21.28914926,5,839,39,3252,97,5230,3.933442626,4613,1.962930848,178,0.111,23394,10186,50,22.79791549,5,875,39,3564,97,5818,3.972986644,4914,2.072853073,182,2,349,Medicinal & Biomolecular Chemistry,0.32460733,Plant Biology & Botany,0.219895288,Chemistry,0.492146597,69,65,94672
"Denkov, N.",Sofia University St. Kliment Ohridski,bgr,170,1984,2022,30695,9154,49,22.35714286,3,307,31,3000,70,4233,3.848197824,6731,1.359976229,159,0.1173,29811,10371,54,24.92777778,3,336,31,3312,70,4700,3.902991328,6972,1.487521515,160,0,63,Chemical Physics,0.711764706,Food Science,0.041176471,Physics & Astronomy,0.876470588,723,704,95895
"Kashchiev, Dimo",Institute of Physical Chemistry Bulgarian Academy of Sciences,bgr,122,1968,2022,31719,4457,33,23.45,42,1160,69,3082,94,3812,3.838454434,3406,1.308573106,113,0.1091,31596,5003,36,25.92619048,42,1251,69,3342,94,4207,3.886486335,3604,1.3881798,116,0,28,Chemical Physics,0.409836066,Applied Physics,0.303278689,Physics & Astronomy,0.770491803,761,727,95895
"Popov, V. N.",Sofia University St. Kliment Ohridski,bgr,115,1988,2022,35786,4918,31,16.70108225,15,1781,47,3195,61,3613,3.801704871,4331,1.135534519,101,0.0981,38560,5453,32,17.88560606,15,1828,47,3419,61,3896,3.826683204,4557,1.196620584,104,0,88,Applied Physics,0.626086957,General Physics,0.113043478,Physics & Astronomy,0.869565217,1057,942,289917
"Kostova, Irena",Medical University of Sofia,bgr,101,1997,2022,39080,3810,30,16.93168498,11,1842,62,3187,79,3280,3.77405228,3202,1.189881324,84,0.1612,36332,4542,35,18.71501832,11,1885,62,3705,79,3840,3.844723854,3369,1.348174533,92,0,81,Medicinal & Biomolecular Chemistry,0.267326733,Chemical Physics,0.168316832,Chemistry,0.564356436,104,106,94672
"Vitanov, N. V.",Sofia University St. Kliment Ohridski,bgr,245,1991,2022,41491,5373,36,23.47464986,19,308,52,2639,187,4336,3.755464186,3288,1.634124088,207,0.2494,32521,7158,42,26.50798319,19,422,52,3311,187,5719,3.87808748,3644,1.964324918,222,0,7,General Physics,0.673469388,Optics,0.07755102,Physics & Astronomy,0.92244898,202,259,70970
"Pavlov, D.",Bulgarian Academy of Sciences,bgr,145,1968,2021,45313,3138,30,22.61666667,27,840,97,2618,126,2954,3.727440836,1478,2.123139378,122,0.1334,42937,3621,33,25.7,27,921,97,2982,126,3404,3.793525622,1545,2.34368932,125,0,41,Energy,0.903448276,Applied Physics,0.027586207,Enabling & Strategic Technologies,0.95862069,473,491,265592
"Saka, Mehmet Polat",University of Bahrain,bhr,96,1978,2022,84551,2266,28,19.48333333,23,524,43,893,90,2203,3.510897454,1588,1.426952141,77,0.1449,80621,2650,32,20.81666667,23,600,43,1085,90,2577,3.582703365,1663,1.593505713,80,0,39,Applied Mathematics,0.505263158,Civil Engineering,0.326315789,Mathematics & Statistics,0.536842105,192,177,18499
"Hamadeh, Randah R.",Arabian Gulf University,bhr,154,1981,2022,192737,49310,51,7.401970436,9,70,25,156,40,237,3.179746403,43898,1.123285799,134,0.134,188352,56941,53,7.878755842,9,94,25,190,40,283,3.248623865,48112,1.183509312,135,0,399,General & Internal Medicine,0.396103896,Public Health,0.214285714,Clinical Medicine,0.675324675,2238,2531,311132
"Radhi, Hassan",Tasmeem Engineering,bhr,23,1980,2017,201472,818,17,12.41666667,10,465,22,791,23,818,3.160621628,736,1.111413043,22,0.0532,227912,864,17,12.41666667,10,493,22,837,23,864,3.165257166,757,1.141347424,22,0,22,Energy,0.434782609,Building & Construction,0.347826087,Built Environment & Design,0.47826087,3125,2694,265592
"Cowman, Seamus",Royal College of Surgeons in Ireland,bhr,80,1984,2022,227364,1694,24,13.86230159,20,107,28,254,61,1107,3.106698438,1512,1.12037037,63,0.1084,238999,1900,26,14.00515873,20,120,28,284,61,1234,3.1438736,1629,1.16635973,66,0,29,Nursing,0.4375,General & Internal Medicine,0.15,Public Health & Health Services,0.65,701,698,50863
"Terro, Mohamad Jamil",Kingdom University,bhr,29,1993,2021,369676,737,12,6.666666667,2,317,14,437,21,644,2.878460754,672,1.09672619,21,0.029,412051,759,13,6.666666667,2,320,14,449,21,661,2.887470249,686,1.106413994,21,0,28,Civil Engineering,0.275862069,Building & Construction,0.206896552,Engineering,0.310344828,1082,887,50610
"Gruber, Samuel",Bimini Biological Field Station Foundation,bhs,111,1963,2022,187225,3049,30,17.76150794,3,35,11,328,54,1499,3.192316056,2083,1.463754201,106,0.207,164676,3845,36,19.99081197,3,48,11,404,54,1781,3.305371957,2312,1.663062284,106,0,5,Fisheries,0.351351351,Marine Biology & Hydrobiology,0.198198198,Biology,0.378378378,462,549,34384
"Milošević, Dejan B.",University of Sarajevo,bih,233,1987,2022,40572,5567,37,22.32917222,29,541,91,2387,182,3002,3.762288401,3048,1.82644357,191,0.3733,19745,8883,51,30.14785909,29,866,91,3904,182,5165,4.018844028,3463,2.565116951,212,0,4,General Physics,0.605150215,Optics,0.124463519,Physics & Astronomy,0.86695279,124,253,70970
"Šabanović, Asif",International University of Sarajevo,bih,232,1979,2022,116666,2451,23,14.45238095,8,424,41,890,172,1751,3.388077696,2180,1.124311927,172,0.1672,114302,2943,26,15.88849206,8,434,41,987,172,2120,3.452327368,2443,1.204666394,189,0,43,Industrial Engineering & Automation,0.474137931,Electrical & Electronic Engineering,0.38362069,Engineering,0.892241379,882,861,100693
"Glavic, Mevludin",Independent Researcher/Consultant,bih,78,1996,2022,242235,1748,23,11.94285714,3,55,26,757,27,771,3.077780809,1487,1.175521184,71,0.1238,251300,1995,24,12.85311355,3,60,26,850,27,866,3.121089469,1623,1.229205176,74,1,27,Energy,0.769230769,Industrial Engineering & Automation,0.064102564,Enabling & Strategic Technologies,0.769230769,3509,3322,265592
"Zerem, Enver",Academy of Sciences and Arts of Bosnia and Herzegovina,bih,117,2002,2022,304540,1014,15,8.506296274,9,170,68,618,83,726,2.97091883,950,1.067368421,82,0.2642,272415,1378,17,9.980105798,9,197,68,794,83,921,3.084173131,1178,1.169779287,94,0,35,General & Internal Medicine,0.35042735,Gastroenterology & Hepatology,0.11965812,Clinical Medicine,0.965811966,3351,4139,311132
"Masic, Izet",Academy of Medical Sciences of Bosnia and Herzegovina,bih,340,1979,2022,365264,657,12,8.836742424,127,238,200,443,269,532,2.88422039,535,1.228037383,152,0.3713,303365,1045,14,10.01796578,127,317,200,622,269,741,3.034107239,709,1.473906911,181,2,18,General & Internal Medicine,0.691176471,Cardiovascular System & Hematology,0.055882353,Clinical Medicine,0.95,3784,5054,311132
"Trukhanov, S. V.",Scientific Practical Materials Research Centre of NAS of Belarus,blr,253,1999,2022,62901,5119,52,15.17342837,5,180,66,1929,97,2589,3.617269777,1644,3.113746959,211,0.3198,44143,7526,63,16.82386127,5,289,66,2879,97,3761,3.785500555,2073,3.630487217,229,1,24,Applied Physics,0.387351779,Materials,0.18972332,Physics & Astronomy,0.596837945,1223,1692,289917
"Kilbas, Anatoly A.",Belarusian State University,blr,88,1993,2020,73232,5527,21,11.66666667,2,224,52,4952,63,5020,3.563361298,4455,1.240628507,75,0.0508,82347,5823,22,12,2,227,52,5180,63,5265,3.575064221,4624,1.259299308,77,0,147,General Mathematics,0.625,Applied Mathematics,0.102272727,Mathematics & Statistics,0.977272727,399,338,61457
"Demidchik, Vadim",Belarusian State University,blr,52,1997,2022,74955,5280,25,9.880494505,6,580,28,2956,37,3058,3.555204502,4168,1.266794626,50,0.147,75021,6190,26,10.54716117,6,610,28,3601,37,3726,3.608429003,4363,1.418748567,51,0,20,Plant Biology & Botany,0.730769231,Endocrinology & Metabolism,0.057692308,Biology,0.807692308,991,997,148322
"Kulinkovich, Oleg G.",Belarusian State University,blr,118,1976,2015,97543,2290,22,14.54285714,9,606,34,1430,95,2066,3.457780008,1435,1.595818815,104,0.2346,78404,2992,26,18.90952381,9,700,34,1740,95,2700,3.592624902,1573,1.902097902,107,0,1,Organic Chemistry,0.728813559,General Chemistry,0.093220339,Chemistry,0.940677966,1578,1822,154108
"Gaponenko, S. V.",B. I. Stepanov Institute of Physics,blr,204,1982,2022,123506,3736,25,11.18026696,17,372,47,664,127,2126,3.365484485,3226,1.158090515,126,0.1959,108121,4646,30,12.58466811,17,438,47,853,127,2661,3.473426467,3594,1.292710072,145,0,34,Applied Physics,0.269607843,Optoelectronics & Photonics,0.225490196,Physics & Astronomy,0.637254902,3155,3509,289917
"Troyanchuk, I. O.",Scientific Practical Materials Research Centre of NAS of Belarus,blr,382,1982,2020,141754,4025,33,14.99402264,2,17,185,1815,222,2260,3.309935574,2906,1.385065382,290,0.2874,114877,5648,38,17.99164169,2,21,185,2542,222,3127,3.450297605,3437,1.64329357,318,0,16,Applied Physics,0.392670157,General Physics,0.287958115,Physics & Astronomy,0.808900524,3372,4046,289917
"Artemyev, Mikhail",Belarusian State University,blr,236,1994,2022,151706,5120,38,15.11351426,2,10,28,1022,105,2741,3.282090729,4201,1.218757439,160,0.2101,142595,6482,43,17.46430791,2,12,28,1108,105,3095,3.364300485,4775,1.357486911,169,0,72,Applied Physics,0.212765957,Nanoscience & Nanotechnology,0.204255319,Physics & Astronomy,0.489361702,4278,4364,289917
"Balabanovich, A. I.",Belarusian State University,blr,52,1992,2011,165142,2421,29,12.02777778,7,224,26,699,27,708,3.246318946,1844,1.312906725,51,0.1073,173975,2712,31,12.27777778,7,244,26,788,27,797,3.282220434,1973,1.374556513,51,0,47,Polymers,0.461538462,Energy,0.173076923,Chemistry,0.615384615,1659,1505,103159
"Kuleshov, Nikolay",Belarusian National Technical University,blr,395,1987,2022,322508,4334,35,12.57496115,0,0,29,804,156,1355,2.943988979,2945,1.471646859,222,0.2728,298752,5960,40,14.88144356,0,0,29,929,156,1754,3.041255583,3528,1.689342404,241,0,18,Optics,0.427440633,Optoelectronics & Photonics,0.374670185,Physics & Astronomy,0.604221636,1222,1190,64044
"Pustovalov, Victor K.",Belarusian National Technical University,blr,95,1973,2022,370050,589,11,8.916666667,23,205,81,573,90,575,2.877970756,497,1.185110664,45,0.2869,296805,826,14,10.75,23,276,81,795,90,805,3.044336836,553,1.493670886,58,1,16,Optoelectronics & Photonics,0.410526316,Chemical Physics,0.136842105,Enabling & Strategic Technologies,0.515789474,1493,1758,115726
"Dudin, Alexander",Belarusian State University,blr,204,1981,2022,379870,1011,17,10.28333333,11,37,83,394,127,719,2.865137757,646,1.56501548,141,0.4625,230975,1881,24,14.76666667,11,61,83,683,127,1300,3.159311301,879,2.139931741,160,1,29,Artificial Intelligence & Image Processing,0.284313725,Operations Research,0.161764706,Information & Communication Technologies,0.504901961,4418,7534,321592
"Nichelmann, Martin",Belarusian State Medical University,blr,90,1967,2004,538523,527,14,7.733333333,16,53,61,264,79,471,2.69216576,392,1.344387755,44,0.2992,449999,752,17,9.266666667,16,67,61,367,79,646,2.844130882,440,1.709090909,50,0,6,General & Internal Medicine,0.555555556,Physiology,0.233333333,Clinical Medicine,0.588888889,5837,7744,311132
"Glantz, Stanton A.","University of California, San Francisco",bmu,580,1974,2022,6049,20608,70,44.96686508,56,630,106,2654,492,18049,4.280181185,14251,1.44607396,506,0.1213,5787,23452,76,47.99464286,56,700,106,2889,492,20467,4.323642992,14921,1.571744521,512,0,152,Public Health,0.402079723,Cardiovascular System & Hematology,0.147313692,Public Health & Health Services,0.530329289,46,49,59062
"Bates, Nicholas R.",Bermuda Institute of Ocean Sciences,bmu,149,1994,2022,29626,9988,51,22.47303109,10,496,40,2229,64,3302,3.858933009,7215,1.384338184,142,0.2313,25562,12993,58,24.24960733,10,591,40,2737,64,4120,3.94813767,8268,1.571480406,142,0,5,Meteorology & Atmospheric Sciences,0.382550336,Oceanography,0.33557047,Earth & Environmental Sciences,0.845637584,350,395,66873
"Tsallis, C.",Centro Brasileiro de Pesquisas Físicas,bra,412,1970,2022,1707,19170,53,36.81666667,68,10091,130,13927,354,18250,4.551267989,9609,1.995004683,345,0.1661,1295,22987,63,41.56666667,68,10602,130,15224,354,21538,4.625386673,9978,2.30376829,373,3,176,Fluids & Plasmas,0.508515815,Applied Physics,0.158150852,Physics & Astronomy,0.97080292,12,13,48581
"Victora, Cesar G.",Universidade Federal de Pelotas,bra,720,1980,2022,2551,47688,97,37.90620809,28,283,143,14635,408,25956,4.467651775,36534,1.305304648,664,0.1365,2361,55224,106,40.94485556,28,309,143,16176,408,29360,4.515248388,39350,1.403405337,676,0,402,Public Health,0.268428373,General & Internal Medicine,0.126564673,Public Health & Health Services,0.440890125,18,21,59062
"Fearnside, Philip Martin",Instituto Nacional de Pesquisas Da Amazonia,bra,287,1979,2022,3456,13249,60,43.33582603,115,5587,137,6824,210,7798,4.403195274,9676,1.369264159,257,0.1641,2892,15850,65,48.12930429,115,6580,137,8044,210,9317,4.47402588,10339,1.533030274,270,0,58,Ecology,0.317689531,Forestry,0.162454874,Biology,0.411552347,58,69,59970
"Yusuf, Salim",McMaster University,can,1462,1979,2022,14,215242,213,62.93625103,60,12259,196,49077,801,117625,5.358193547,145807,1.476211705,1279,0.0802,15,234000,222,65.23326896,60,12536,196,51033,801,124890,5.366094284,152450,1.534929485,1294,2,2468,Cardiovascular System & Hematology,0.450068399,General & Internal Medicine,0.16621067,Clinical Medicine,0.922708618,1,1,199278
"Becke, Axel D.",Dalhousie University,can,88,1977,2022,21,167227,51,37.83333333,38,152659,52,160373,76,164092,5.316023645,126637,1.320522438,83,0.0046,23,167999,52,38.83333333,38,152954,52,160930,76,164784,5.306451874,126721,1.325739222,84,0,531,Chemical Physics,0.813953488,General Chemistry,0.069767442,Physics & Astronomy,0.88372093,1,1,95895
"Guyatt, Gordon",McMaster University,can,1785,1977,2022,50,234381,203,72.74454839,45,1194,208,49182,854,98907,5.178869674,179292,1.30725855,1558,0.0726,48,252741,213,75.87673989,45,1228,208,52548,854,107308,5.192696109,185700,1.361017771,1591,4,1500,General & Internal Medicine,0.294843049,Epidemiology,0.101457399,Clinical Medicine,0.791479821,3,3,311132
"Bengio, Yoshua",Montreal Institute for Learning Algorithms,can,451,1988,2022,81,191194,114,49.65889267,11,6956,76,29790,321,110239,5.097400461,137810,1.387373921,406,0.0104,95,193207,115,49.90889267,11,7014,76,30194,321,111569,5.082270922,138456,1.395439706,413,2,2095,Artificial Intelligence & Image Processing,0.640625,Experimental Psychology,0.140625,Information & Communication Technologies,0.714285714,4,4,321592
"Moher, David",Ottawa Hospital Research Institute,can,792,1984,2022,118,256444,144,45.24037372,17,314,117,109010,344,167068,5.022395883,193323,1.326505382,731,0.0329,135,265177,146,47.39165757,17,351,117,111038,344,170757,5.027816839,195651,1.355357243,741,0,1133,General & Internal Medicine,0.37721519,Epidemiology,0.075949367,Clinical Medicine,0.782278481,7,7,311132
"Hancock, Robert E.W.",The University of British Columbia,can,767,1974,2022,227,67930,129,67.63534184,23,3792,82,14310,452,47808,4.926847995,40481,1.678071194,728,0.1014,224,75599,137,71.94852102,23,3941,82,15044,452,52670,4.95121177,42216,1.790766534,741,2,626,Microbiology,0.410691004,Immunology,0.089960887,Biomedical Research,0.619295958,3,2,175943
"Grätzel, Michael",Ecole Polytechnique Fédérale de Lausanne,che,1645,1971,2022,1,318947,252,111.7160629,59,27873,82,29461,903,215608,5.612540614,119092,2.678156383,1566,0.0705,1,343152,264,116.1275209,59,28463,82,30101,903,229111,5.617871361,121946,2.813966838,1575,1,3731,Nanoscience & Nanotechnology,0.185027389,Chemical Physics,0.132684114,Enabling & Strategic Technologies,0.392574559,1,1,103235
"Laemmli, Ulrich K.",Université de Genève,che,80,1968,2009,59,135313,49,23.66944444,3,126327,14,128194,73,135018,5.147889257,132097,1.024345746,78,0.0025,71,135652,50,23.91944444,3,126329,14,128214,73,135340,5.135851634,132174,1.026313798,78,0,1239,Developmental Biology,0.6125,Biochemistry & Molecular Biology,0.25,Biomedical Research,0.925,7,7,127685
"Hanahan, Douglas",Ludwig Institute for Cancer Research Lausanne,che,232,1978,2022,96,114203,94,39.6374601,14,8167,34,76125,142,98185,5.057754861,96136,1.18793168,221,0.0264,112,117296,99,40.97360728,14,8245,34,76398,142,99742,5.057582126,97400,1.204271047,222,0,846,Oncology & Carcinogenesis,0.32034632,Developmental Biology,0.303030303,Clinical Medicine,0.593073593,6,6,293195
